Einsum,Dimensions,L_Value,Dtype,JIT_GFLOPS
"lmk,lnk->nm","4,103,128,128",103,"BF16",274.783
"lmk,lnk->nm","4,104,128,128",104,"BF16",272.958
"lmk,lnk->nm","4,105,128,128",105,"BF16",274.728
"lmk,lnk->nm","4,106,128,128",106,"BF16",264.12
"lmk,lnk->nm","4,107,128,128",107,"BF16",274.743
"lmk,lnk->nm","4,108,128,128",108,"BF16",273.388
"lmk,lnk->nm","4,109,128,128",109,"BF16",275.379
"lmk,lnk->nm","4,110,128,128",110,"BF16",271.817
"lmk,lnk->nm","4,111,128,128",111,"BF16",274.039
"lmk,lnk->nm","4,112,128,128",112,"BF16",272.211
"lmk,lnk->nm","4,113,128,128",113,"BF16",274.53
"lmk,lnk->nm","4,114,128,128",114,"BF16",273.128
"lmk,lnk->nm","4,115,128,128",115,"BF16",274.704
"lmk,lnk->nm","4,116,128,128",116,"BF16",274.526
"lmk,lnk->nm","4,117,128,128",117,"BF16",275.161
"lmk,lnk->nm","4,118,128,128",118,"BF16",270.057
"lmk,lnk->nm","4,119,128,128",119,"BF16",275.817
"lmk,lnk->nm","4,120,128,128",120,"BF16",272.684
"lmk,lnk->nm","4,121,128,128",121,"BF16",275.288
"lmk,lnk->nm","4,122,128,128",122,"BF16",267.556
"lmk,lnk->nm","4,123,128,128",123,"BF16",275.516
"lmk,lnk->nm","4,124,128,128",124,"BF16",275.131
"lmk,lnk->nm","4,125,128,128",125,"BF16",275.46
"lmk,lnk->nm","4,126,128,128",126,"BF16",271.269
"lmk,lnk->nm","4,127,128,128",127,"BF16",275.604
"lmk,lnk->nm","4,128,128,128",128,"BF16",274.876
